Nombre,Origen,Destino,Peso
CJ11H,j12,j11,5
CJ12H,j13,j12,7
CJ13H,j14,j13,3
CJ14H,j15,j14,15
CJ15H,j16,j15,2
CJ16H,j17,j16,14
CJ17H,j18,j17,7
CJ18H,j19,j18,13
CJ19H,j20,j19,18
CJ20H,j21,j20,12
CJ21H,j22,j21,8
CJ22H,j23,j22,7
CJ23H,j24,j23,10
CJ24H,j25,j24,7
CJ25H,j26,j25,2
CK1H,k1,k2,5
CK2H,k2,k3,12
CK3H,k3,k4,20
CK4H,k4,k5,2
CK5H,k5,k6,8
CK6H,k6,k7,1
CK7H,k7,k8,15
CK8H,k8,k9,8
CK9H,k9,k10,10
CK10H,k10,k11,13
CK11H,k11,k12,9
CK12H,k12,k13,6
CK13H,k13,k14,2
CK14H,k14,k15,17
CK15H,k15,k16,18
CK16H,k16,k17,4
CK17H,k17,k18,17
CK18H,k18,k19,10
CK19H,k19,k20,14
CK20H,k20,k21,9
CK21H,k21,k22,20
CK22H,k22,k23,16
CK23H,k23,k24,19
CK24H,k24,k25,16
CK25H,k25,k26,17
CL1H,l2,l1,16
CL2H,l3,l2,5
CL3H,l4,l3,10
CL4H,l5,l4,12
CL5H,l6,l5,7
CL6H,l7,l6,5
CL7H,l8,l7,2
CL8H,l9,l8,17
CL9H,l10,l9,14
CL10H,l11,l10,4
CL11H,l12,l11,6
CL12H,l13,l12,8
CL13H,l14,l13,6
CL14H,l15,l14,13
CL15H,l16,l15,8
CL16H,l17,l16,5
CL17H,l18,l17,1
CL18H,l19,l18,6
CL19H,l20,l19,12
CL20H,l21,l20,5
CL21H,l22,l21,2
CL22H,l23,l22,19
CL23H,l24,l23,5
CL24H,l25,l24,5
CL25H,l26,l25,19
CM1H,m1,m2,6
CM2H,m2,m3,13
CM3H,m3,m4,3
CM4H,m4,m5,2
CM5H,m5,m6,3
CM6H,m6,m7,9
CM7H,m7,m8,2
CM8H,m8,m9,10
CM9H,m9,m10,5
CM10H,m10,m11,12
CM11H,m11,m12,4
CM12H,m12,m13,15
CM13H,m13,m14,18
CM14H,m14,m15,5
CM15H,m15,m16,18
CM16H,m16,m17,8
CM17H,m17,m18,4
CM18H,m18,m19,13
CM19H,m19,m20,4
CM20H,m20,m21,5
CM21H,m21,m22,16
CM22H,m22,m23,13
CM23H,m23,m24,15
CM24H,m24,m25,17
CM25H,m25,m26,2
CN1H,n2,n1,7
CN2H,n3,n2,13
CN3H,n4,n3,8
CN4H,n5,n4,6
CN5H,n6,n5,3
CN6H,n7,n6,17
CN7H,n8,n7,15
CN8H,n9,n8,16
CN9H,n10,n9,4
CN10H,n11,n10,1
CN11H,n12,n11,19
CN12H,n13,n12,11
CN13H,n14,n13,14
CN14H,n15,n14,5
CN15H,n16,n15,16
CN16H,n17,n16,7
CN17H,n18,n17,7
CN18H,n19,n18,18
CN19H,n20,n19,11
CN20H,n21,n20,17
CN21H,n22,n21,12
CN22H,n23,n22,9
CN23H,n24,n23,10
CN24H,n25,n24,12
CN25H,n26,n25,5
CO1H,o1,o2,20
CO2H,o2,o3,6
CO3H,o3,o4,2
CO4H,o4,o5,9
CO5H,o5,o6,4
CO6H,o6,o7,1
CO7H,o7,o8,3
CO8H,o8,o9,16
CO9H,o9,o10,11
CO10H,o10,o11,13
CO11H,o11,o12,11
CO12H,o12,o13,2
CO13H,o13,o14,12
CO14H,o14,o15,13
CO15H,o15,o16,2
CO16H,o16,o17,17
CO17H,o17,o18,3
CO18H,o18,o19,5
CO19H,o19,o20,9
CO20H,o20,o21,13
CO21H,o21,o22,15
CO22H,o22,o23,15
CO23H,o23,o24,8
CO24H,o24,o25,5
CO25H,o25,o26,8
CP1H,p2,p1,20
CP2H,p3,p2,6
CP3H,p4,p3,16
CP4H,p5,p4,4
CP5H,p6,p5,12
CP6H,p7,p6,5
CP7H,p8,p7,19
CP8H,p9,p8,4
CP9H,p10,p9,9
CP10H,p11,p10,4
CP11H,p12,p11,18
CP12H,p13,p12,6
CP13H,p14,p13,5
CP14H,p15,p14,5
CP15H,p16,p15,13
CP16H,p17,p16,3
CP17H,p18,p17,1
CP18H,p19,p18,16
CP19H,p20,p19,18
CP20H,p21,p20,6
CP21H,p22,p21,2
CP22H,p23,p22,18
CP23H,p24,p23,13
CP24H,p25,p24,11
CP25H,p26,p25,10
CQ1H,q1,q2,8
CQ2H,q2,q3,2
CQ3H,q3,q4,9
CQ4H,q4,q5,9
CQ5H,q5,q6,9
CQ6H,q6,q7,4
CQ7H,q7,q8,8
CQ8H,q8,q9,9
CQ9H,q9,q10,6
CQ10H,q10,q11,12
CQ11H,q11,q12,5
CQ12H,q12,q13,16
CQ13H,q13,q14,17
CQ14H,q14,q15,15
CQ15H,q15,q16,3
CQ16H,q16,q17,12
CQ17H,q17,q18,2
CQ18H,q18,q19,10
CQ19H,q19,q20,20
CQ20H,q20,q21,20
CQ21H,q21,q22,3
CQ22H,q22,q23,5
CQ23H,q23,q24,3
CQ24H,q24,q25,4
CQ25H,q25,q26,18
CR1H,r2,r1,16
CR2H,r3,r2,4
CR3H,r4,r3,6
CR4H,r5,r4,4
CR5H,r6,r5,3
CR6H,r7,r6,18
CR7H,r8,r7,3
CR8H,r9,r8,9
CR9H,r10,r9,10
CR10H,r11,r10,19
CR11H,r12,r11,17
CR12H,r13,r12,6
CR13H,r14,r13,10
CR14H,r15,r14,14
CR15H,r16,r15,14
CR16H,r17,r16,12
CR17H,r18,r17,10
CR18H,r19,r18,13
CR19H,r20,r19,12
CR20H,r21,r20,13
CR21H,r22,r21,4
CR22H,r23,r22,12
CR23H,r24,r23,17
CR24H,r25,r24,19
CR25H,r26,r25,1
CS1H,s1,s2,4
CS2H,s2,s3,1
CS3H,s3,s4,18
CS4H,s4,s5,3
CS5H,s5,s6,11
CS6H,s6,s7,18
CS7H,s7,s8,11
CS8H,s8,s9,7
CS9H,s9,s10,10
CS10H,s10,s11,20
CS11H,s11,s12,4
CS12H,s12,s13,13
CS13H,s13,s14,20
CS14H,s14,s15,1
CS15H,s15,s16,12
CS16H,s16,s17,16
CS17H,s17,s18,19
CS18H,s18,s19,14
CS19H,s19,s20,18
CS20H,s20,s21,19
CS21H,s21,s22,18
CS22H,s22,s23,4
CS23H,s23,s24,6
CS24H,s24,s25,10
CS25H,s25,s26,1
CT1H,t2,t1,6
CT2H,t3,t2,18
CT3H,t4,t3,15
CT4H,t5,t4,18
CT5H,t6,t5,1
CT6H,t7,t6,10
CT7H,t8,t7,16
CT8H,t9,t8,14
CT9H,t10,t9,10
CT10H,t11,t10,19
CT11H,t12,t11,6
CT12H,t13,t12,14
CT13H,t14,t13,9
CT14H,t15,t14,10
CT15H,t16,t15,4
CT16H,t17,t16,6
CT17H,t18,t17,20
CT18H,t19,t18,14
CT19H,t20,t19,8
CT20H,t21,t20,6
CT21H,t22,t21,5
CT22H,t23,t22,5
CT23H,t24,t23,3
CT24H,t25,t24,20
CT25H,t26,t25,5
CU1H,u1,u2,1
CU2H,u2,u3,17
CU3H,u3,u4,1
CU4H,u4,u5,5
CU5H,u5,u6,18
CU6H,u6,u7,19
CU7H,u7,u8,5
CU8H,u8,u9,9
CU9H,u9,u10,4
CU10H,u10,u11,19
CU11H,u11,u12,8
CU12H,u12,u13,19
CU13H,u13,u14,10
CU14H,u14,u15,17
CU15H,u15,u16,4
CU16H,u16,u17,15
CU17H,u17,u18,16
CU18H,u18,u19,20
CU19H,u19,u20,8
CU20H,u20,u21,15
CU21H,u21,u22,11
CU22H,u22,u23,16
CU23H,u23,u24,5
CU24H,u24,u25,8
CU25H,u25,u26,20
CV1H,v2,v1,18
CV2H,v3,v2,3
CV3H,v4,v3,6
CV4H,v5,v4,14
CV5H,v6,v5,12
CV6H,v7,v6,9
CV7H,v8,v7,19
CV8H,v9,v8,7
CV9H,v10,v9,15
CV10H,v11,v10,8
CV11H,v12,v11,10
CV12H,v13,v12,9
CV13H,v14,v13,11
CV14H,v15,v14,17
CV15H,v16,v15,4
CV16H,v17,v16,3
CV17H,v18,v17,19
CV18H,v19,v18,3
CV19H,v20,v19,16
CV20H,v21,v20,6
CV21H,v22,v21,11
CV22H,v23,v22,8
CV23H,v24,v23,12
CV24H,v25,v24,12
CV25H,v26,v25,5
CW1H,w1,w2,5
CW2H,w2,w3,5
CW3H,w3,w4,17
CW4H,w4,w5,5
CW5H,w5,w6,3
CW6H,w6,w7,20
CW7H,w7,w8,5
CW8H,w8,w9,2
CW9H,w9,w10,20
CW10H,w10,w11,14
CW11H,w11,w12,16
CW12H,w12,w13,6
CW13H,w13,w14,16
CW14H,w14,w15,17
CW15H,w15,w16,7
CW16H,w16,w17,16
CW17H,w17,w18,13
CW18H,w18,w19,18
CW19H,w19,w20,7
CW20H,w20,w21,1
CW21H,w21,w22,12
CW22H,w22,w23,4
CW23H,w23,w24,13
CW24H,w24,w25,18
CW25H,w25,w26,1
CX1H,x2,x1,5
CX2H,x3,x2,7
CX3H,x4,x3,10
CX4H,x5,x4,2
CX5H,x6,x5,9
CX6H,x7,x6,1
CX7H,x8,x7,16
CX8H,x9,x8,11
CX9H,x10,x9,8
CX10H,x11,x10,8
CX11H,x12,x11,1
CX12H,x13,x12,14
CX13H,x14,x13,1
CX14H,x15,x14,13
CX15H,x16,x15,18
CX16H,x17,x16,14
CX17H,x18,x17,6
CX18H,x19,x18,20
CX19H,x20,x19,6
CX20H,x21,x20,20
CX21H,x22,x21,2
CX22H,x23,x22,13
CX23H,x24,x23,15
CX24H,x25,x24,5
CX25H,x26,x25,19
CY1H,y1,y2,12
CY2H,y2,y3,1
CY3H,y3,y4,9
CY4H,y4,y5,19
CY5H,y5,y6,10
CY6H,y6,y7,16
CY7H,y7,y8,8
CY8H,y8,y9,18
CY9H,y9,y10,9
CY10H,y10,y11,14
CY11H,y11,y12,12
CY12H,y12,y13,8
CY13H,y13,y14,15
CY14H,y14,y15,10
CY15H,y15,y16,9
CY16H,y16,y17,8
CY17H,y17,y18,17
CY18H,y18,y19,19
CY19H,y19,y20,4
CY20H,y20,y21,8
CY21H,y21,y22,6
CY22H,y22,y23,19
CY23H,y23,y24,15
CY24H,y24,y25,10
CY25H,y25,y26,6
CZ1H,z2,z1,4
CZ2H,z3,z2,1
CZ3H,z4,z3,11
CZ4H,z5,z4,8
CZ5H,z6,z5,8
CZ6H,z7,z6,15
CZ7H,z8,z7,8
CZ8H,z9,z8,8
CZ9H,z10,z9,13
CZ10H,z11,z10,11
CZ11H,z12,z11,13
CZ12H,z13,z12,14
CZ13H,z14,z13,18
CZ14H,z15,z14,2
CZ15H,z16,z15,3
CZ16H,z17,z16,19
CZ17H,z18,z17,16
CZ18H,z19,z18,12
CZ19H,z20,z19,6
CZ20H,z21,z20,14
CZ21H,z22,z21,15
CZ22H,z23,z22,15
CZ23H,z24,z23,2
CZ24H,z25,z24,1
CZ25H,z26,z25,1
CA1V,a1,b1,1
CA2V,b2,a2,13
CA3V,a3,b3,8
CA4V,b4,a4,5
CA5V,a5,b5,7
CA6V,b6,a6,19
CA7V,a7,b7,19
CA8V,b8,a8,11
CA9V,a9,b9,8
CA10V,b10,a10,18
CA11V,a11,b11,2
CA12V,b12,a12,19
CA13V,a13,b13,18
CA14V,b14,a14,11
CA15V,a15,b15,4
CA16V,b16,a16,20
CA17V,a17,b17,17
CA18V,b18,a18,2
CA19V,a19,b19,8
CA20V,b20,a20,6
CA21V,a21,b21,16
CA22V,b22,a22,2
CA23V,a23,b23,9
CA24V,b24,a24,20
CA25V,a25,b25,10
CB1V,b1,c1,12
CB2V,c2,b2,1
CB3V,b3,c3,9
CB4V,c4,b4,14
CB5V,b5,c5,9
CB6V,c6,b6,4
CB7V,b7,c7,18
CB8V,c8,b8,3
CB9V,b9,c9,17
CB10V,c10,b10,8
CB11V,b11,c11,12
CB12V,c12,b12,13
CB13V,b13,c13,7
CB14V,c14,b14,18
CB15V,b15,c15,13
CB16V,c16,b16,9
CB17V,b17,c17,13
CB18V,c18,b18,10
CB19V,b19,c19,1
CB20V,c20,b20,6
CB21V,b21,c21,9
CB22V,c22,b22,8
CB23V,b23,c23,8
CB24V,c24,b24,1
CB25V,b25,c25,6
CC1V,c1,d1,10
CC2V,d2,c2,11
CC3V,c3,d3,5
CC4V,d4,c4,8
CC5V,c5,d5,17
CC6V,d6,c6,19
CC7V,c7,d7,18
CC8V,d8,c8,8
CC9V,c9,d9,5
CC10V,d10,c10,13
CC11V,c11,d11,7
CC12V,d12,c12,12
CC13V,c13,d13,8
CC14V,d14,c14,5
CC15V,c15,d15,6
CC16V,d16,c16,10
CC17V,c17,d17,20
CC18V,d18,c18,10
CC19V,c19,d19,8
CC20V,d20,c20,4
CC21V,c21,d21,20
CC22V,d22,c22,3
CC23V,c23,d23,8
CC24V,d24,c24,19
CC25V,c25,d25,3
CC26V,d26,c26,11
CD1V,d1,e1,5
CD2V,e2,d2,15
CD3V,d3,e3,11
CD4V,e4,d4,19
CD5V,d5,e5,16
CD6V,e6,d6,13
CD7V,d7,e7,3
CD8V,e8,d8,14
CD9V,d9,e9,10
CD10V,e10,d10,11
CD11V,d11,e11,1
CD12V,e12,d12,11
CD13V,d13,e13,3
CD14V,e14,d14,17
CD15V,d15,e15,2
CD16V,e16,d16,18
CD17V,d17,e17,20
CD18V,e18,d18,8
CD19V,d19,e19,6
CD20V,e20,d20,14
CD21V,d21,e21,5
CD22V,e22,d22,13
CD23V,d23,e23,11
CD24V,e24,d24,2
CD25V,d25,e25,20
CD26V,e26,d26,7
CE1V,e1,f1,13
CE2V,f2,e2,4
CE3V,e3,f3,13
CE4V,f4,e4,18
CE5V,e5,f5,8
CE6V,f6,e6,20
CE7V,e7,f7,10
CE8V,f8,e8,14
CE9V,e9,f9,14
CE10V,f10,e10,16
CE11V,e11,f11,5
CE12V,f12,e12,15
CE13V,e13,f13,17
CE14V,f14,e14,19
CE15V,e15,f15,7
CE16V,f16,e16,15
CE17V,e17,f17,9
CE18V,f18,e18,13
CE19V,e19,f19,8
CE20V,f20,e20,5
CE21V,e21,f21,7
CE22V,f22,e22,19
CE23V,e23,f23,14
CE24V,f24,e24,9
CE25V,e25,f25,19
CE26V,f26,e26,18
CF1V,f1,g1,15
CF2V,g2,f2,17
CF3V,f3,g3,19
CF4V,g4,f4,19
CF5V,f5,g5,8
CF6V,g6,f6,20
CF7V,f7,g7,8
CF8V,g8,f8,5
CF9V,f9,g9,8
CF10V,g10,f10,18
CF11V,f11,g11,19
CF12V,g12,f12,6
CF13V,f13,g13,5
CF14V,g14,f14,5
CF15V,f15,g15,5
CF16V,g16,f16,4
CF17V,f17,g17,4
CF18V,g18,f18,19
CF19V,f19,g19,17
CF20V,g20,f20,18
CF21V,f21,g21,5
CF22V,g22,f22,5
CF23V,f23,g23,20
CF24V,g24,f24,10
CF25V,f25,g25,3
CF26V,g26,f26,14
CG1V,g1,h1,14
CG2V,h2,g2,18
CG3V,g3,h3,18
CG4V,h4,g4,19
CG5V,g5,h5,5
CG6V,h6,g6,7
CG7V,g7,h7,12
CG8V,h8,g8,5
CG9V,g9,h9,17
CG10V,h10,g10,4
CG11V,g11,h11,3
CG12V,h12,g12,8
CG13V,g13,h13,18
CG14V,h14,g14,7
CG15V,g15,h15,9
CG16V,h16,g16,14
CG17V,g17,h17,15
CG18V,h18,g18,5
CG19V,g19,h19,9
CG20V,h20,g20,6
CG21V,g21,h21,20
CG22V,h22,g22,3
CG23V,g23,h23,20
CG24V,h24,g24,4
CG25V,g25,h25,4
CG26V,h26,g26,20
CH1V,h1,i1,18
CH2V,i2,h2,18
CH3V,h3,i3,15
CH4V,i4,h4,10
CH5V,h5,i5,3
CH6V,i6,h6,13
CH7V,h7,i7,19
CH8V,i8,h8,19
CH9V,h9,i9,6
CH10V,i10,h10,2
CH11V,h11,i11,14
CH12V,i12,h12,1
CH13V,h13,i13,7
CH14V,i14,h14,8
CH15V,h15,i15,14
CH16V,i16,h16,11
CH17V,h17,i17,6
CH18V,i18,h18,4
CH19V,h19,i19,12
CH20V,i20,h20,18
CH21V,h21,i21,15
CH22V,i22,h22,3
CH23V,h23,i23,8
CH24V,i24,h24,2
CH25V,h25,i25,20
CH26V,i26,h26,12
CI1V,i1,j1,19
CI2V,j2,i2,19
CI3V,i3,j3,17
CI4V,j4,i4,3
CI5V,i5,j5,16
CI6V,j6,i6,10
CI7V,i7,j7,14
CI8V,j8,i8,10
CI9V,i9,j9,7
CI10V,j10,i10,7
CI11V,i11,j11,17
CI12V,j12,i12,20
CI13V,i13,j13,16
CI14V,j14,i14,3
CI15V,i15,j15,16
CI16V,j16,i16,16
CI17V,i17,j17,1
CI18V,j18,i18,17
CI19V,i19,j19,1
CI20V,j20,i20,9
CI21V,i21,j21,13
CI22V,j22,i22,4
CI23V,i23,j23,6
CI24V,j24,i24,2
CI25V,i25,j25,9
CI26V,j26,i26,11
CJ1V,j1,k1,9
CJ2V,k2,j2,1
CJ3V,j3,k3,16
CJ4V,k4,j4,17
CJ5V,j5,k5,16
CJ6V,k6,j6,11
CJ7V,j7,k7,1
CJ8V,k8,j8,18
CJ9V,j9,k9,11
CJ10V,k10,j10,18
CJ11V,j11,k11,2
CJ12V,k12,j12,17
CJ13V,j13,k13,14
CJ14V,k14,j14,13
CJ15V,j15,k15,2
CJ16V,k16,j16,5
CJ17V,j17,k17,9
CJ18V,k18,j18,1
CJ19V,j19,k19,8
CJ20V,k20,j20,11
CJ21V,j21,k21,15
CJ22V,k22,j22,10
CJ23V,j23,k23,15
CJ24V,k24,j24,17
CJ25V,j25,k25,3
CJ26V,k26,j26,3
CK1V,k1,l1,7
CK2V,l2,k2,20
CK3V,k3,l3,7
CK4V,l4,k4,17
CK5V,k5,l5,14
CK6V,l6,k6,13
CK7V,k7,l7,12
CK8V,l8,k8,13
CK9V,k9,l9,10
CK10V,l10,k10,15
CK11V,k11,l11,15
CK12V,l12,k12,18
CK13V,k13,l13,7
CK14V,l14,k14,15
CK15V,k15,l15,20
CK16V,l16,k16,5
CK17V,k17,l17,12
CK18V,l18,k18,8
CK19V,k19,l19,6
CK20V,l20,k20,11
CK21V,k21,l21,16
CK22V,l22,k22,15
CK23V,k23,l23,6
CK24V,l24,k24,12
CK25V,k25,l25,2
CK26V,l26,k26,5
CL1V,l1,m1,6
CL2V,m2,l2,1
CL3V,l3,m3,13
CL4V,m4,l4,19
CL5V,l5,m5,3
CL6V,m6,l6,18
CL7V,l7,m7,5
CL8V,m8,l8,18
CL9V,l9,m9,2
CL10V,m10,l10,18
CL11V,l11,m11,4
CL12V,m12,l12,3
CL13V,l13,m13,16
CL14V,m14,l14,13
CL15V,l15,m15,19
CL16V,m16,l16,3
CL17V,l17,m17,3
CL18V,m18,l18,6
CL19V,l19,m19,8
CL20V,m20,l20,10
CL21V,l21,m21,4
CL22V,m22,l22,17
CL23V,l23,m23,7
CL24V,m24,l24,11
CL25V,l25,m25,4
CL26V,m26,l26,10
CM1V,m1,n1,10
CM2V,n2,m2,11
CM3V,m3,n3,14
CM4V,n4,m4,1
CM5V,m5,n5,6
CM6V,n6,m6,5
CM7V,m7,n7,17
CM8V,n8,m8,8
CM9V,m9,n9,4
CM10V,n10,m10,4
CM11V,m11,n11,2
CM12V,n12,m12,12
CM13V,m13,n13,6
CM14V,n14,m14,8
CM15V,m15,n15,11
CM16V,n16,m16,4
CM17V,m17,n17,19
CM18V,n18,m18,11
CM19V,m19,n19,5
CM20V,n20,m20,15
CM21V,m21,n21,11
CM22V,n22,m22,16
CM23V,m23,n23,15
CM24V,n24,m24,13
CM25V,m25,n25,11
CM26V,n26,m26,16
CN1V,n1,o1,3
CN2V,o2,n2,11
CN3V,n3,o3,15
CN4V,o4,n4,5
CN5V,n5,o5,4
CN6V,o6,n6,20
CN7V,n7,o7,4
CN8V,o8,n8,10
CN9V,n9,o9,6
CN10V,o10,n10,4
CN11V,n11,o11,9
CN12V,o12,n12,19
CN13V,n13,o13,2
CN14V,o14,n14,1
CN15V,n15,o15,10
CN16V,o16,n16,3
CN17V,n17,o17,8
CN18V,o18,n18,13
CN19V,n19,o19,18
CN20V,o20,n20,4
CN21V,n21,o21,11
CN22V,o22,n22,20
CN23V,n23,o23,20
CN24V,o24,n24,2
CN25V,n25,o25,19
CN26V,o26,n26,7
CO1V,o1,p1,17
CO2V,p2,o2,1
CO3V,o3,p3,3
CO4V,p4,o4,11
CO5V,o5,p5,7
CO6V,p6,o6,11
CO7V,o7,p7,9
CO8V,p8,o8,12
CO9V,o9,p9,17
CO10V,p10,o10,6
CO11V,o11,p11,10
CO12V,p12,o12,10
CO13V,o13,p13,16
CO14V,p14,o14,6
CO15V,o15,p15,10
CO16V,p16,o16,6
CO17V,o17,p17,15
CO18V,p18,o18,8
CO19V,o19,p19,17
CO20V,p20,o20,19
CO21V,o21,p21,11
CO22V,p22,o22,15
CO23V,o23,p23,19
CO24V,p24,o24,1
CO25V,o25,p25,12
CO26V,p26,o26,13
CP1V,p1,q1,2
CP2V,q2,p2,18
CP3V,p3,q3,10
CP4V,q4,p4,1
CP5V,p5,q5,6
CP6V,q6,p6,17
CP7V,p7,q7,20
CP8V,q8,p8,10
CP9V,p9,q9,10
CP10V,q10,p10,2
CP11V,p11,q11,10
CP12V,q12,p12,16
CP13V,p13,q13,5
CP14V,q14,p14,19
CP15V,p15,q15,1
CP16V,q16,p16,11
CP17V,p17,q17,1
CP18V,q18,p18,17
CP19V,p19,q19,13
CP20V,q20,p20,11
CP21V,p21,q21,1
CP22V,q22,p22,17
CP23V,p23,q23,19
CP24V,q24,p24,7
CP25V,p25,q25,3
CP26V,q26,p26,3
CQ1V,q1,r1,9
CQ2V,r2,q2,6
CQ3V,q3,r3,4
